City,Latitude,Longitude,Population,Land Area,Water Area
"Rensselaer, NY, USA",42.644516,-73.747253,9210,3.18,0.33
"Plattsburgh, NY, USA",44.699764,-73.471428,19841,5.04,1.56
"Peekskill, NY, USA",41.292282,-73.930725,25431,4.34,1.23
"Oneida, NY, USA",43.095654,-75.669487,10329,22.05,0.08
"New Rochelle, NY, USA",40.922794,-73.791809,10329,22.05,0.08
"Mount Vernon, NY, USA",40.916695,-73.836815,73893,4.39,0.02
"Middletown, NY, USA",41.450123,-74.429253,30345,5.31,0.03
"Lockport, NY, USA",43.170048,-78.710464,20876,8.40,0.05
"Lackawanna, NY, USA",42.820339,-78.843399,19949,6.55,0.05
"Kingston, NY, USA",41.931828,-74.011108,24069,7.48,1.29
"Johnstown, NY, USA",43.010265,-74.383682,8204,4.82,0.00
"Gloversville, NY, USA",43.052845,-74.363762,15131,5.05,0.01
"Glens Falls, NY, USA",43.311825,-73.655975,14830,3.85,0.14
"Geneva, NY, USA",42.868473,-76.99649,12812,4.21,1.63
"Dunkirk, NY, USA",42.481365,-79.343887,12812,4.21,1.63
"Cortland, NY, USA",42.604729,-76.18737,12812,4.21,1.63
"Corning, NY, USA",42.148773,-77.062103,10551,3.08,0.18
"Cohoes, NY, USA",42.774475,-73.708412,18147,3.77,0.46
"South Lake Tahoe, CA, USA",38.936604,-119.986649,21330,10.15,6.44
"Binghamton, NY, USA",42.098843,-75.920647,47969,10.48,0.65
"Amsterdam, NY, USA",42.940933,-74.200806,18219,5.87,0.39
"Mason, OH, USA",39.36834,-84.32959,34792,19.26,0.02
"Carpinteria, CA, USA",34.395958,-119.521042,13264,2.59,6.68
"Madeira Beach, FL, USA",27.798244,-82.798462,3895,0.98,2.21
"Hoboken, NJ, USA",40.745255,-74.034775,60419,1.25,0.72
"Port Hueneme, CA, the US",34.155834,-119.202789,21723,4.42,0.25
"Auburn, NY, USA",42.933334,-76.566666,26866,8.34,0.08
"Jamestown, NY, the US",42.095554,-79.238609,28712,8.90,0.15
"Fulton, MO, USA",38.846668,-91.948059,12600,12.33,0.14
"Bedford, OH, the US",41.392502,-81.534447,13149,5.34,0.05
"Stuart, FL, USA",27.192223,-80.243057,17425,7.05,2.48
"San Angelo, TX, USA",31.442778,-100.450279,93200,59.64,2.28
"Woodbridge, NJ, USA",40.560001,-74.290001,103639,23.26,1.35
"Vista, CA, USA",33.193611,-117.241112,93834,18.75,0.00
"South Bend, IN, USA",41.676388,-86.250275,93834,18.75,0.00
"Davenport, IA, USA",41.543056,-90.590836,101724,63.80,
"Sparks, NV, USA",39.554443,-119.735558,108445,36.49,
"Green Bay, WI, USA",44.513332,-88.015831,107395,45.48,10.28
"San Mateo, CA, USA",37.554169,-122.313057,105661,12.13,3.71
"Tyler, TX, USA",32.349998,-95.300003,105995,57.45,0.52
"League City, TX, USA",29.499722,-95.089722,112129,51.26,1.80
"Lewisville, TX, USA",33.038334,-97.006111,113760,37.01,6.21
"Meridian, ID, USA",43.614166,-116.398888,117635,33.97,0.06
"Waterbury, CT, USA",41.55611,-73.041389,114403,28.52,
"Jurupa Valley, CA, USA",34.0,-117.48333,105053,42.94,0.74
"West Palm Beach, FL, USA",26.709723,-80.064163,117415,53.82,4.17
"Antioch, CA, USA",38.005001,-121.805832,115291,29.17,0.77
"High Point, NC, USA",35.970554,-79.997498,114059,56.91,1.52
"Miami Gardens, FL, USA",25.942122,-80.26992,111640,18.23,0.77
"Murrieta, CA, USA",33.569443,-117.202499,110949,33.61,0.04
"Springfield, IL, USA",39.799999,-89.650002,114394,61.16,6.33
"El Monte, CA, USA",34.073334,-118.027496,114394,61.16,6.33
"West Jordan, UT, USA",40.606388,-111.976112,116961,32.33,0.00
"College Station, TX, USA",30.601389,-96.314445,120511,51.16,0.14
"Fairfield, CA, USA",38.257778,-122.054169,120511,51.16,0.14
"Evansville, IN, USA",37.977222,-87.550552,118414,47.35,
"Cambridge, MA, USA",42.373611,-71.110558,118403,6.40,0.71
"Richardson, TX, USA",32.965557,-96.715836,119469,28.57,0.09
"Berkeley, CA, USA",37.871666,-122.272781,124321,10.43,7.22
"Columbia, MO, USA",38.951561,-92.328636,126254,67.17,0.28
"Athens, GA, USA",33.950001,-83.383331,127315,116.33,1.77
"Lafayette, LA, USA",30.216667,-92.033333,121374,55.92,0.08
"Sterling Heights, MI, USA",42.580276,-83.030281,134346,36.45,0.27
"Visalia, CA, USA",36.316666,-119.300003,141384,37.91,0.02
"Hampton, VA, USA",37.034946,-76.360123,137148,51.46,84.81
"West Valley City, UT, USA",40.689167,-111.993889,137148,51.46,84.81
"Surprise, AZ, USA",33.630554,-112.366669,143148,110.30,0.22
"Thornton, CO, USA",39.903057,-104.954445,141867,35.924,2.023
"Miramar, FL, USA",25.978889,-80.282501,134721,28.85,2.23
"Murfreesboro, TN, USA",35.846111,-86.391945,152769,63.99,0.14
"Pasadena, CA, USA",34.156113,-118.131943,138699,22.96,0.14
"Bridgeport, CT, USA",41.18639,-73.195557,148654,16.0,3.4
"Paterson, NJ, USA",40.914745,-74.162827,159732,8.41,0.29
"Rockford, Il, the US",42.259445,-89.064445,148655,64.91,
"Joliet, Illinois, USA",41.520557,-88.150558,150362,65.08,0.74
"Escondido, CA, USA",33.124722,-117.080833,151038,37.34,0.11
"Kansas City, KS, USA",39.106667,-94.676392,156607,124.74,3.57
"Springfield, MA, USA",42.101391,-72.590279,155929,31.87,1.21
"Springfield, MO, USA",37.210388,-93.297256,169176,83.11,0.59
"Corona, CA, USA",33.866669,-117.566666,157136,39.94,0.02
"Pembroke Pines, FL, USA",26.012501,-80.313614,171178,32.68,2.08
"Elk Grove, CA, USA",38.438332,-121.381943,1761242,42.03,0.17
"Oceanside, CA, the US",33.211666,-117.325836,174068,41.26,0.90
"Newport News, VA, USA",37.070831,-76.484444,186247,68.99,50.63
"Sioux Falls, South Dakota, the US",43.536388,-96.731667,186247,68.99,50.63
"Vancouver, WA, USA",45.633331,-122.599998,190915,48.74,3.70
"Worcester, MA, USA",42.271389,-71.798889,206518114,37.36,1.08
"Tallahassee, FL, USA",30.455,-84.253334,196169,101.85,2.89
"Columbus, GA, USA",32.492222,-84.940277,206922,216.50,4.51
"Augusta, GA, USA",33.466667,-81.966667,202081,302.28,4.17
"Montgomery, AL, USA",32.361668,-86.279167,200603,159.86,2.41
"Aurora, IL, USA",41.763889,-88.290001,180542,44.97,0.94
"Amarillo, TX, USA",35.199165,-101.845276,200393,102.30,1.56
"Modesto, CA, USA",37.639492,-121.015099,218464,42.97,1.83
"Garland, TX, USA",32.907223,-96.635277,226876,57.13,0.12
"Irvine, CA, the US",33.669445,-117.823059,307670,65.61,0.31
"Aurora, CO, USA",39.710835,-104.8125,386261,160.130,0.575
"Arlington, TX, USA",32.705002,-97.12278,394266,95.84,3.60
"Kansas City, MO, USA",39.099724,-94.578331,508090,314.73,4.07
"Memphis, TN, USA",35.1175,-89.971107,633104,294.92,7.63
"Indianapolis, IN, USA",39.791,-86.148003,887642,361.64,6.29
"Columbus, OH, USA",39.983334,-82.98333,905748,220.40,5.86
